host_is_superhost,bathrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,log_price,room_type_Private room,room_type_Shared room,distance_to_cbd
1,1.0,3.0,2,33,95.0,1,9,4.919980925828125,False,False,6.788034066527516
0,1.0,3.0,2,3,87.0,0,21,5.231108616854587,False,False,1.79585837938636
0,1.0,1.0,4,3,93.0,0,1,4.574710978503383,False,False,7.379195044536623
0,1.0,1.0,3,2,100.0,0,1,4.948759890378168,False,False,3.4465441988750007
0,1.0,2.0,3,2,100.0,1,1,4.983606621708336,False,False,4.440219087940996
0,1.5,3.0,2,13,100.0,0,1,5.1647859739235145,False,False,4.729783297584152
0,1.5,3.0,2,5,92.0,1,1,5.030437921392435,False,False,10.881089739032417
0,1.0,1.0,1,3,80.0,1,1,4.795790545596741,False,False,4.30162709182509
0,1.0,1.0,1,3,90.0,1,3,4.61512051684126,False,False,3.0048163586638323
1,1.0,1.0,3,58,98.0,0,1,4.02535169073515,True,False,7.314468010004334
0,1.0,1.0,4,18,94.0,0,3,3.713572066704308,True,False,6.56526713122604
0,1.0,2.0,1,5,95.0,1,1,4.394449154672439,True,False,37.25752158088055
0,1.0,2.0,1,13,86.0,1,36,4.762173934797756,False,False,2.30475819826648
1,1.0,1.0,2,14,97.0,0,1,4.330733340286331,True,False,3.147663643236145
0,2.0,2.0,1,1,100.0,0,1,3.8501476017100584,True,False,14.03319286278952
0,1.0,1.0,6,7,97.0,1,1,4.442651256490317,False,False,6.352133181310394
1,1.0,1.0,1,4,95.0,1,38,6.396929655216146,False,False,0.6433920029154985
0,1.5,1.0,1,5,96.0,1,1,3.7612001156935624,True,False,14.322151002353937
0,1.5,1.0,1,2,90.0,0,2,4.110873864173311,True,False,4.0067671146710815
0,1.0,2.0,1,6,87.0,0,6,4.51085950651685,True,False,14.157372740034171
1,1.0,1.0,2,47,99.0,1,1,4.867534450455582,False,False,2.776585377525164
0,1.0,1.0,7,10,88.0,0,1,4.574710978503383,False,False,4.809833048316061
0,1.0,3.0,2,7,94.0,0,1,5.703782474656201,False,False,2.535002060298872
0,1.0,1.0,2,107,90.0,1,5,4.836281906951478,False,False,1.4787075275541117
0,1.0,2.0,2,2,100.0,1,16,5.25227342804663,False,False,0.823378678287879
0,1.0,3.0,2,7,100.0,0,2,5.375278407684165,False,False,2.2549738344375223
0,1.0,1.0,3,10,88.0,1,1,4.624972813284271,False,False,3.6803075543517068
0,3.5,2.0,5,1,100.0,0,1,6.54534966033442,False,False,8.073344857098395
0,1.0,1.0,1,2,100.0,1,1,4.02535169073515,True,False,54.00049351926636
0,1.0,1.0,2,4,100.0,1,1,5.293304824724492,False,False,35.09093523315992
0,1.0,2.0,2,6,100.0,1,1,4.787491742782046,False,False,0.5612620207782311
1,1.5,2.0,3,4,100.0,1,2,4.795790545596741,False,False,4.982828415334269
1,1.0,2.0,2,116,98.0,1,3,5.1647859739235145,False,False,1.1317784825500075
0,1.0,4.0,5,1,100.0,0,1,5.860786223465865,False,False,1.1660057515650677
0,3.5,6.0,1,30,86.0,1,4,5.993961427306569,False,False,38.24991314089478
0,1.0,3.0,1,70,95.0,1,4,5.135798437050262,False,False,0.751675914558156
1,2.0,1.0,1,1,100.0,0,2,4.5217885770490405,False,False,2.003462474964451
0,1.5,2.0,4,8,95.0,1,1,5.860786223465865,False,False,2.0225023997492046
0,1.0,3.0,3,71,94.0,1,1,4.867534450455582,False,False,6.426653666652462
0,1.0,1.0,1,8,95.0,0,1,3.9318256327243257,True,False,11.575968619598674
0,1.0,1.0,30,1,80.0,0,1,4.9344739331306915,False,False,2.779143442493085
0,1.0,2.0,1,9,98.0,1,36,4.836281906951478,False,False,1.621542987750028
0,2.5,5.0,7,1,100.0,0,1,6.2166061010848646,False,False,6.976265089768102
0,2.0,4.0,7,1,100.0,0,6,5.638354669333745,False,False,29.167381609912027
1,1.0,2.0,2,1,80.0,0,4,4.51085950651685,True,False,5.937414872995243
0,1.0,1.0,1,1,100.0,1,1,4.919980925828125,False,False,4.258921300545604
0,1.0,1.0,1,12,92.0,1,2,3.8501476017100584,True,False,39.00803274721683
0,1.0,3.0,3,83,96.0,1,1,5.135798437050262,False,False,0.9424671859882501
0,1.0,1.0,1,8,100.0,0,1,4.51085950651685,True,False,0.6544233700360522
0,1.0,1.0,1,3,100.0,1,1,3.5263605246161616,True,False,3.8706403634129405
0,1.0,1.0,2,23,96.0,1,50,4.919980925828125,False,False,2.214604197434842
0,1.0,1.0,1,65,95.0,1,2,4.574710978503383,False,False,0.33283834640419735
0,1.0,2.0,2,9,89.0,0,42,4.700480365792417,False,False,5.167748856569099
1,3.0,1.0,6,7,100.0,1,9,3.58351893845611,True,False,5.9601331022165445
0,1.5,3.0,5,5,95.0,0,3,4.948759890378168,False,False,6.532989573798539
1,1.0,1.0,4,31,96.0,1,2,4.394449154672439,False,False,13.504848025875035
1,2.0,3.0,3,1,100.0,1,2,5.1647859739235145,False,False,4.445173339776409
0,1.0,1.0,2,2,100.0,1,1,5.940171252720432,True,False,3.654909223885707
1,1.0,2.0,2,14,97.0,0,1,3.6375861597263857,True,False,21.815566375965382
0,1.0,1.0,3,7,100.0,0,2,4.442651256490317,True,False,1.7056385575197466
0,1.0,1.0,1,11,91.0,1,4,3.713572066704308,True,False,17.705512645422296
0,1.0,3.0,4,47,91.0,1,1,4.700480365792417,False,False,11.878444916260003
1,1.5,1.0,1,20,100.0,0,4,4.02535169073515,True,False,13.819594070647582
0,1.0,2.0,4,1,100.0,0,1,5.62040086571715,False,False,3.3642521892921833
0,1.0,1.0,5,3,80.0,1,1,3.713572066704308,True,False,6.571169673909181
0,1.0,1.0,7,1,100.0,1,1,4.02535169073515,True,False,0.47166904434964857
0,2.0,2.0,2,2,70.0,0,1,4.61512051684126,False,False,5.970968702289821
0,1.0,2.0,1,39,91.0,1,50,4.795790545596741,False,False,0.40033364182572095
0,1.0,3.0,1,29,93.0,1,5,3.8066624897703196,True,False,6.03654551284656
1,1.0,1.0,1,17,94.0,0,1,3.58351893845611,True,False,20.883357639226865
0,1.0,1.0,3,4,100.0,0,1,4.442651256490317,True,False,8.045061155061449
0,1.5,1.0,3,5,96.0,0,1,4.143134726391533,True,False,0.7807049284470425
1,1.0,3.0,4,54,96.0,1,1,4.61512051684126,False,False,19.174590445788215
0,1.0,1.0,3,39,99.0,0,1,5.135798437050262,False,False,6.417829437618161
0,1.0,2.0,4,17,93.0,0,1,5.25227342804663,False,False,1.816063549742974
0,1.0,3.0,4,6,96.0,1,1,4.700480365792417,False,False,4.193595835871199
0,1.0,1.0,3,3,80.0,0,1,4.7535901911063645,False,False,2.247672276828407
0,1.0,1.0,2,2,70.0,0,2,3.4339872044851463,True,False,11.496198688000426
